기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2025,30,대전광역시,특수대학원,충남대학교,본교,국립,181000,2592471,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,특수대학원,한밭대학교,본교,국립,22300,2337000,2025-05-19,B552529,한국장학재단
2025,31,울산광역시,특수대학원,울산과학기술원,본교,국립,0,4950000,2025-05-19,B552529,한국장학재단
2025,41,경기도,특수대학원,한경대학교,본교,국립,23000,2159169.8,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,특수대학원,강릉원주대학교,본교,국립,0,2253821.1,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,특수대학원,강원대학교,본교,국립,178000,2377196.9,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,특수대학원,춘천교육대학교,본교,국립,179000,1896000,2025-05-19,B552529,한국장학재단
2025,43,충청북도,특수대학원,충북대학교,본교,국립,175000,2541645.2,2025-05-19,B552529,한국장학재단
2025,43,충청북도,특수대학원,한국교원대학교,본교,국립,0,1951087.8,2025-05-19,B552529,한국장학재단
2025,43,충청북도,특수대학원,한국교통대학교,본교,국립,45000,2379479.4,2025-05-19,B552529,한국장학재단
2025,43,충청북도,특수대학원,청주교육대학교,본교,국립,0,1995646.7,2025-05-19,B552529,한국장학재단
2025,44,충청남도,특수대학원,공주대학교,본교,국립,179000,2097053.6,2025-05-19,B552529,한국장학재단
2025,44,충청남도,특수대학원,공주교육대학교,본교,국립,179000,1888000,2025-05-19,B552529,한국장학재단
2025,44,충청남도,특수대학원,한국전통문화대학교(일반),본교,국립,0,1904000,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,군산대학교,본교,국립,178000,1743291.1,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,전북대학교,본교,국립,178000,2729992.2,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,전주교육대학교,본교,국립,0,2323079.8,2025-05-19,B552529,한국장학재단
2025,46,전라남도,특수대학원,목포대학교,본교,국립,189000,1935720.9,2025-05-19,B552529,한국장학재단
2025,46,전라남도,특수대학원,목포해양대학교,본교,국립,168000,2388000,2025-05-19,B552529,한국장학재단
2025,46,전라남도,특수대학원,순천대학교,본교,국립,180000,2104144.1,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,금오공과대학교,본교,국립,184000,2377518.7,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,경국대학교,본교,국립,170000,1959037.6,2025-05-19,B552529,한국장학재단
2025,48,경상남도,특수대학원,경상국립대학교,본교,국립,180000,2359670.3,2025-05-19,B552529,한국장학재단
2025,48,경상남도,특수대학원,창원대학교,본교,국립,0,2217351.8,2025-05-19,B552529,한국장학재단
2025,48,경상남도,특수대학원,진주교육대학교,본교,국립,177200,2094507.2,2025-05-19,B552529,한국장학재단
2025,50,제주특별자치도,특수대학원,제주대학교,본교,국립,183000,2416903,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,특수대학원,서울시립대학교,본교,공립,184000,3485011.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,특수대학원,한양대학교(ERICA),분교,사립,1030000,6195577.8,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,특수대학원,연세대학교(미래),분교,사립,1195000,6300000,2025-05-19,B552529,한국장학재단
2025,43,충청북도,특수대학원,건국대학교(글로컬),분교,사립,1015000,4249607.8,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,동국대학교(WISE),분교,사립,910000,4504000,2025-05-19,B552529,한국장학재단
2025,36,세종특별자치시,특수대학원,고려대학교(세종),분교,사립,1031000,5222653.4,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,특수대학원,가톨릭대학교,제2캠퍼,사립,1013000,5570830.4,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,특수대학원,명지대학교,제2캠퍼,사립,930000,5479628.4,2025-05-19,B552529,한국장학재단
2025,28,인천광역시,특수대학원,안양대학교,제2캠퍼,사립,750000,4226333.3,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,특수대학원,건양대학교,제2캠퍼,사립,600000,3518959.5,2025-05-19,B552529,한국장학재단
2025,41,경기도,특수대학원,중앙대학교,제2캠퍼,사립,980000,7391000,2025-05-19,B552529,한국장학재단
2025,41,경기도,특수대학원,예원예술대학교,제2캠퍼,사립,460000,3374869.6,2025-05-19,B552529,한국장학재단
2025,44,충청남도,특수대학원,단국대학교,제2캠퍼,사립,980000,5206012.8,2025-05-19,B552529,한국장학재단
2025,48,경상남도,특수대학원,영산대학교(양산),제2캠퍼,사립,590000,3580000,2025-05-19,B552529,한국장학재단
2025,36,세종특별자치시,특수대학원,홍익대학교,제2캠퍼,사립,996000,5734773.3,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,전주대학교,본교,사립,650000,3168321,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,우석대학교,본교,사립,637000,3488374.7,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,원광대학교,본교,사립,640000,2752888,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,한일장신대학교,본교,사립,550000,2826957.5,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,예원예술대학교,본교,사립,460000,3343142.9,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,특수대학원,원광디지털대학교,본교,사립,0,3000000,2025-05-19,B552529,한국장학재단
2025,46,전라남도,특수대학원,동신대학교,본교,사립,530000,3302518.9,2025-05-19,B552529,한국장학재단
2025,46,전라남도,특수대학원,초당대학교,본교,사립,400000,3236000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,영남신학대학교,본교,사립,550000,3349622,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,대신대학교,본교,사립,550000,2905394.7,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,대구가톨릭대학교,본교,사립,673345.1,3648361.4,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,대구대학교,본교,사립,750000,3116974.5,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,영남대학교,본교,사립,839000,3288249.3,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,신경주대학교,본교,사립,684000,3206847.6,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,경일대학교,본교,사립,750000,6760000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,대구한의대학교,본교,사립,780000,3534102.6,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,포항공과대학교,본교,사립,898000,5172000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,한동대학교,본교,사립,900000,4195500,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,동양대학교,본교,사립,710000,3677721.2,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,위덕대학교,본교,사립,600000,3000000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,대구사이버대학교,본교,사립,0,3500000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,특수대학원,김천대학교,본교,사립,675000,3400363.6,2025-05-19,B552529,한국장학재단
